model,fold,n_train,n_test,train_subjects,test_subjects,seconds,signature,macro_f1_3class,bin_sensitivity,bin_specificity,bin_precision,bin_f1,bin_tp,bin_fp,bin_tn,bin_fn,bin_auc,bin_auprc,bkg_recall,bkg_precision,bkg_f1,bkg_support,alert_recall,alert_precision,alert_f1,alert_support,fall_recall,fall_precision,fall_f1,fall_support,protocol,dataset,task,params,lo,hi
cnn_1d,fold0,90726,23740,20,5,184.6,2574e6104c95,0.970943974941713,0.9423592493297587,0.9965839626033801,0.9487179487179487,0.9455279085406859,1406,76,22172,86,0.9964893069883439,0.9836542496741835,0.9965839626033801,0.9961362206846976,0.9963600413427403,22248,0.0,0.0,0.0,0,0.9423592493297587,0.9487179487179487,0.9455279085406859,1492,grouped5,sisfall,postfall,102211,0.983
cnn_1d,fold1,90811,23655,20,5,129.8,2574e6104c95,0.9689178364905516,0.9786666666666667,0.99322951929587,0.907292954264524,0.9416292495189225,1468,150,22005,32,0.9989460467915444,0.9869136664119305,0.9932746558338975,0.9985479626100372,0.9959043287398457,22155,0.0,0.0,0.0,0,0.9786666666666667,0.9078540507111935,0.9419313442412576,1500,grouped5,sisfall,postfall,102211,0.9753
cnn_1d,fold2,95119,19347,20,5,180.6,2574e6104c95,0.9654112379442812,0.9433333333333334,0.9950956080894914,0.9271089271089271,0.9351507641470468,1132,89,18058,68,0.9960814689296669,0.9623111026878284,0.9950956080894914,0.9962484828423259,0.9956717117415157,18147,0.0,0.0,0.0,0,0.9433333333333334,0.9271089271089271,0.9351507641470468,1200,grouped5,sisfall,postfall,102211,0.9735
cnn_1d,fold3,90626,23840,20,5,162.3,2574e6104c95,0.9708201586410552,0.9573333333333334,0.9954341987466427,0.9336801040312094,0.945358788676761,1436,102,22238,64,0.9986753357206803,0.9691801009171389,0.9954341987466427,0.997130302215048,0.9962815286053492,22340,0.0,0.0,0.0,0,0.9573333333333334,0.9336801040312094,0.945358788676761,1500,grouped5,sisfall,postfall,102211,0.9794
cnn_1d,fold4,90582,23884,20,5,213.8,2574e6104c95,0.9697877933520977,0.956,0.995264474624732,0.9311688311688312,0.9434210526315789,1434,106,22278,66,0.9983448445318084,0.9778253208485181,0.995264474624732,0.9970461868958109,0.9961545340726167,22384,0.0,0.0,0.0,0,0.956,0.9311688311688312,0.9434210526315789,1500,grouped5,sisfall,postfall,102211,0.9876
cnn_lstm,fold0,90726,23740,20,5,431.1,2574e6104c95,0.9695450743579821,0.9349865951742627,0.9967637540453075,0.950920245398773,0.9428861101723555,1395,72,22176,97,0.9949312852051406,0.9792046562190451,0.9967637540453075,0.9956449512863108,0.9962040385436087,22248,0.0,0.0,0.0,0,0.9349865951742627,0.950920245398773,0.9428861101723555,1492,grouped5,sisfall,postfall,47811,0.9799
cnn_lstm,fold1,90811,23655,20,5,575.2,2574e6104c95,0.9744386209930487,0.9546666666666667,0.9965696231099075,0.9496021220159151,0.9521276595744681,1432,76,22079,68,0.9980553373956218,0.9831609090870048,0.9965696231099075,0.996929606718743,0.9967495824116293,22155,0.0,0.0,0.0,0,0.9546666666666667,0.9496021220159151,0.9521276595744681,1500,grouped5,sisfall,postfall,47811,0.9807
cnn_lstm,fold2,95119,19347,20,5,431.3,2574e6104c95,0.9711170440536654,0.9533333333333334,0.9958670854686725,0.9384741591468416,0.9458453906572964,1144,75,18072,56,0.9936303750849543,0.9722751626720542,0.9958670854686725,0.9969108561341571,0.9963886974500343,18147,0.0,0.0,0.0,0,0.9533333333333334,0.9384741591468416,0.9458453906572964,1200,grouped5,sisfall,postfall,47811,0.9722
cnn_lstm,fold3,90626,23840,20,5,367.2,2574e6104c95,0.9762912235117278,0.9686666666666667,0.9960608773500448,0.9428942245295263,0.9556067083196317,1453,88,22252,47,0.9984289316621904,0.9841783827174585,0.9960608773500448,0.9978922821651195,0.996975738703824,22340,0.0,0.0,0.0,0,0.9686666666666667,0.9428942245295263,0.9556067083196317,1500,grouped5,sisfall,postfall,47811,0.9792
cnn_lstm,fold4,90582,23884,20,5,358.7,2574e6104c95,0.9693641281713051,0.9586666666666667,0.9949517512508935,0.927143778207608,0.9426417568010488,1438,113,22271,62,0.9978828329759353,0.9816565246455436,0.9949517512508935,0.9972238391617785,0.9960864995415614,22384,0.0,0.0,0.0,0,0.9586666666666667,0.927143778207608,0.9426417568010488,1500,grouped5,sisfall,postfall,47811,0.9834
