threshold,n_fall_trials,detection_rate,preimpact_rate,mean_ms,std_ms,median_ms,p25_ms,p75_ms,min_ms,max_ms,false_alarms_per_hour,sensitivity,specificity,f1
0.75,2346,1.0,0.8806479113384484,563.8818973862536,427.18674215530547,460.0,280.0,720.0,20.0,3520.0,191.092528631158,0.9051306116064446,0.9734593710234503,0.9015697425310637
0.775,2346,0.9995737425404945,0.8716965046888321,541.9462102689487,413.22007852049484,440.0,260.0,700.0,20.0,3520.0,176.25886202508636,0.9002815579540122,0.9755196024965158,0.9025049982359168
0.8,2346,0.9995737425404945,0.8653026427962489,524.9655172413793,401.3221668056227,440.0,260.0,680.0,20.0,3520.0,163.17033266678786,0.8952760832160175,0.9773374537962795,0.9029382764740683
0.825,2346,0.9995737425404945,0.855072463768116,504.9850448654038,386.3956134138644,420.0,240.0,660.0,20.0,3520.0,146.7369569169242,0.8900359768496794,0.9796198670948716,0.9040714995034758
0.85,2346,0.9987212276214834,0.8367433930093776,487.91645440652064,380.59969457181955,400.0,240.0,640.0,20.0,3520.0,132.33957462279585,0.8831534490849366,0.9816195035246117,0.9037938210340963
0.875,2346,0.9987212276214834,0.8256606990622336,468.6732059886422,368.8673661140111,380.0,220.0,620.0,20.0,3520.0,119.25104526449736,0.8755670264351635,0.9834373548243753,0.9027861779766944
0.9,2346,0.9978687127024722,0.8017902813299232,448.4848484848485,354.6514652237,360.0,220.0,600.0,20.0,3520.0,102.23595709870933,0.8652432347880494,0.9858005615140681,0.9011893124796351
0.925,2346,0.9961636828644501,0.7766410912190963,419.9231613611416,333.47156877363034,360.0,200.0,560.0,20.0,3520.0,84.34830030903473,0.851947442515251,0.9882849582904119,0.8980584525330804
0.95,2346,0.9961636828644501,0.7382779198635976,393.23325635103924,305.9810762654829,340.0,180.0,520.0,20.0,3500.0,64.86093437556808,0.8356014390739872,0.9909915368922823,0.89346044489045
0.975,2346,0.9948849104859335,0.6581415174765558,358.1735751295337,288.4791834807604,300.0,160.0,480.0,20.0,3000.0,43.192146882385025,0.8025965900203348,0.9940010907107799,0.8791604197901048
